voted_for,gender,education,age
Biden,Male,Post-grad,32
Biden,Male,Some college,67
Biden,Female,4-year,46
Biden,Non-binary,Post-grad,33
Trump,Male,4-year,69
Biden,Female,High school graduate,56
Biden,Male,Post-grad,77
Biden,Female,4-year,77
Biden,Male,Post-grad,74
Biden,Female,4-year,75
Biden,Female,Post-grad,55
Biden,Female,4-year,63
Trump,Female,2-year,59
Biden,Male,Post-grad,50
Trump,Female,Post-grad,36
Trump,Female,2-year,46
Biden,Female,Some college,43
Trump,Male,Post-grad,39
Trump,Male,High school graduate,67
Biden,Male,4-year,56
Trump,Female,Post-grad,38
Trump,Male,4-year,76
Biden,Male,4-year,47
Biden,Female,Post-grad,43
Biden,Male,Post-grad,51
Biden,Male,4-year,56
Trump,Male,Some college,67
Biden,Male,4-year,39
Biden,Female,4-year,36
Biden,Male,No HS,68
Trump,Female,High school graduate,35
Trump,Female,2-year,54
Biden,Female,4-year,65
Biden,Female,High school graduate,52
Biden,Male,4-year,55
Biden,Male,4-year,57
Trump,Female,High school graduate,65
Biden,Female,2-year,35
Trump,Female,2-year,56
Trump,Female,4-year,52
Trump,Male,Some college,81
Trump,Male,Some college,71
Trump,Male,Some college,63
Trump,Male,2-year,74
Trump,Male,Some college,81
Biden,Female,High school graduate,38
Biden,Female,4-year,26
Biden,Female,Post-grad,54
Biden,Female,4-year,34
Trump,Female,Some college,56
Trump,Female,2-year,26
Trump,Male,4-year,75
Biden,Female,Some college,37
Biden,Female,High school graduate,73
Biden,Female,4-year,56
Trump,Female,High school graduate,91
Trump,Female,High school graduate,60
Biden,Non-binary,High school graduate,36
Biden,Female,Post-grad,61
Trump,Female,Some college,72
Biden,Female,Some college,77
Trump,Female,2-year,37
Trump,Male,Some college,50
Biden,Female,2-year,48
Biden,Male,2-year,64
Trump,Female,Post-grad,59
Biden,Female,High school graduate,74
Trump,Male,2-year,48
Trump,Male,2-year,63
Trump,Male,High school graduate,66
Biden,Male,2-year,57
Biden,Female,2-year,73
Biden,Male,2-year,75
Trump,Male,2-year,57
Biden,Female,Some college,69
Biden,Female,4-year,56
Biden,Male,Some college,57
Biden,Female,4-year,37
Trump,Male,No HS,34
Biden,Female,Post-grad,31
Biden,Male,2-year,44
Biden,Male,4-year,55
Biden,Female,High school graduate,76
Trump,Female,4-year,55
Biden,Female,Some college,67
Biden,Female,High school graduate,85
Biden,Male,Some college,66
Trump,Female,Some college,60
Biden,Male,Post-grad,61
Biden,Male,Some college,23
Trump,Female,Post-grad,54
Biden,Male,2-year,66
Biden,Female,Post-grad,30
Trump,Female,Some college,75
Biden,Female,Post-grad,25
Biden,Female,2-year,48
Trump,Female,4-year,27
Trump,Female,2-year,67
Biden,Male,Some college,23
Biden,Male,High school graduate,69
Trump,Male,High school graduate,58
Biden,Male,2-year,86
Trump,Male,Post-grad,75
Biden,Female,2-year,28
Biden,Female,Post-grad,55
Trump,Female,Some college,68
Biden,Female,Some college,67
Trump,Female,Post-grad,50
Biden,Female,High school graduate,27
Biden,Female,2-year,73
Biden,Male,Post-grad,76
Trump,Male,Some college,54
Biden,Female,Some college,62
Biden,Female,Some college,61
Trump,Female,High school graduate,80
Biden,Female,4-year,26
Biden,Female,Post-grad,70
Biden,Male,4-year,65
Biden,Female,High school graduate,68
Biden,Male,4-year,59
Biden,Male,4-year,65
Trump,Male,High school graduate,70
Trump,Female,2-year,32
Biden,Male,Post-grad,68
Biden,Female,High school graduate,55
Trump,Female,High school graduate,78
Trump,Female,Some college,65
Trump,Male,High school graduate,82
Trump,Male,High school graduate,81
