votereg,birthyr,presvote20post,educ,gender4
1,1992,1,6,1
1,1957,1,3,1
1,1978,1,5,2
1,1991,1,6,3
1,1991,6,6,1
1,1955,2,5,1
1,1968,1,2,2
1,1947,1,6,1
1,1947,1,5,2
1,1950,1,6,1
1,1949,1,5,2
1,1969,1,6,2
1,1961,1,5,2
1,1965,2,4,2
1,1974,1,6,1
1,1988,2,6,2
1,1978,2,4,2
2,1998,6,3,1
1,1981,1,3,2
1,1961,6,3,2
1,1985,2,6,1
1,1957,2,2,1
1,1968,1,5,1
1,1986,2,6,2
1,1948,2,5,1
1,1977,1,5,1
1,1981,1,6,2
2,1964,6,3,2
1,1973,1,6,1
1,1968,1,5,1
1,1957,2,3,1
1,1985,1,5,1
1,1988,1,5,2
2,1939,6,4,1
1,1956,1,1,1
1,1989,2,2,2
2,1982,6,1,2
1,1983,5,3,2
1,1990,6,2,2
1,1970,2,4,2
1,1959,1,5,2
1,1972,1,2,2
1,1978,6,2,2
1,1969,1,5,1
1,1967,1,5,1
1,1959,2,2,2
1,1989,1,4,2
1,1968,2,4,2
1,1972,2,5,2
1,1943,2,3,1
1,1953,2,3,1
1,1961,2,3,1
1,1950,2,4,1
1,1978,5,5,2
1,1943,2,3,1
1,1986,1,2,2
1,1989,6,4,2
1,1998,1,5,2
1,1970,1,6,2
1,1990,1,5,2
1,1968,2,3,2
1,1957,6,2,2
1,1998,2,4,2
2,1989,6,4,2
1,1949,2,5,1
1,1987,1,3,2
2,1997,6,3,2
1,1951,1,2,2
1,1968,1,5,2
1,1933,2,2,2
1,1964,2,2,2
1,1988,1,2,3
1,1963,1,6,2
1,1982,6,6,2
1,1952,2,3,2
1,1947,1,3,2
1,1987,2,4,2
1,1989,3,3,2
1,1974,2,3,1
1,1976,1,4,2
1,1960,1,4,1
1,1965,2,6,2
1,1997,6,5,1
1,1950,1,2,2
1,1976,2,4,1
1,1961,2,4,1
1,1958,2,2,1
1,1967,1,4,1
1,1951,1,4,2
1,1949,1,4,1
1,1967,2,4,1
1,1955,1,3,2
1,1968,1,5,2
1,1967,1,3,1
1,1987,1,5,2
2,1999,5,2,1
1,1990,2,1,1
1,1993,1,6,2
1,1980,1,4,1
2,1983,6,1,2
1,1969,1,5,1
1,1948,1,2,2
1,1969,2,5,2
1,1957,1,3,2
1,1939,1,2,2
1,1958,1,3,1
1,1964,2,3,2
1,1963,1,6,1
1,2001,1,3,1
1,1970,2,6,2
1,1958,1,4,1
1,1994,1,6,2
1,1949,2,3,2
1,1999,1,6,2
1,1976,1,4,2
1,1997,2,5,2
1,1957,2,4,2
1,2001,1,3,1
1,1955,1,2,1
1,1966,2,2,1
1,1938,1,4,1
1,1983,6,4,1
1,1949,2,6,1
1,1996,1,4,2
1,1969,1,6,2
1,1956,2,3,2
1,1957,1,3,2
1,1974,2,6,2
1,1997,1,2,2
2,1996,6,2,1
1,1951,1,4,2
1,1948,1,6,1
1,1970,2,3,1
1,1962,1,3,2
2,1952,6,2,2
2,1997,6,1,2
1,1999,6,1,2
1,1963,1,3,2
1,2000,6,3,2
1,1944,2,2,2
1,1998,1,5,2
1,1954,1,6,2
1,1959,1,5,1
1,1956,1,2,2
1,1965,1,5,1
1,1959,1,5,1
1,1954,2,2,1
1,1992,2,4,2
1,1956,1,6,1
1,1969,1,2,2
1,1999,6,2,2
1,1946,2,2,2
1,1959,2,3,2
1,1942,2,2,1
